Pl.;Spieler;G;MIN;PTS;2PM;2PA;2P %;3PM;3PA;3P %;FGM;FGA;FG %;FTM;FTA;FT %;DREB;OREB;TREB;AST;STL;TOV;BLK;PF;FD;EF;+/-
;Team;;;;;;;;;;;;;;;;;;;;;;;;;;
54;ROBINSON J. (PG);18;546:38:00;202;37;85;43.5%;29;67;43.3%;66;152;43.4%;41;47;87.2%;41;4;45;98;16;26;1;44;55;244;-54
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
83;POLAS BARTOLO Y. (SF);21;606:08:00;202;37;81;45.7%;29;64;45.3%;66;145;45.5%;41;56;73.2%;61;36;97;56;29;30;1;61;68;261;218
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
62;KING G. (SF);18;394:27:00;198;23;40;57.5%;40;80;50.0%;63;120;52.5%;32;35;91.4%;61;16;77;22;17;27;3;47;32;230;-62
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
81;ZIPSER P. (SF);20;419:22:00;197;26;47;55.3%;33;81;40.7%;59;128;46.1%;46;50;92.0%;60;16;76;35;12;12;14;29;43;249;179
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
88;JAMES JR. S. (PF);21;439:10:00;197;67;104;64.4%;11;32;34.4%;78;136;57.4%;30;35;85.7%;64;45;109;21;7;25;6;54;41;252;-152
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
51;CLIFFORD D. (C);17;482:13:00;194;80;111;72.1%;0;0;0.0%;80;111;72.1%;34;49;69.4%;100;37;137;33;9;36;15;44;62;306;-78
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
67;KLEPEISZ T. (PG);18;407:34:00;194;19;38;50.0%;33;78;42.3%;52;116;44.8%;57;64;89.1%;19;2;21;49;19;26;0;40;52;186;113
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
99;ROBERTSON Q. (SG);22;715:53:00;193;38;76;50.0%;27;81;33.3%;65;157;41.4%;36;44;81.8%;77;23;100;75;39;32;7;63;47;282;-61
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
85;WARD T. (SF);20;482:05:00;190;57;105;54.3%;13;42;31.0%;70;147;47.6%;37;55;67.3%;56;30;86;51;23;41;6;66;49;220;-64
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
86;LO M. (PG);20;422:27:00;190;37;69;53.6%;27;69;39.1%;64;138;46.4%;35;45;77.8%;38;8;46;82;15;32;0;25;54;217;107
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
58;FONTECCHIO S. (SF);17;353:46:00;189;55;90;61.1%;19;45;42.2%;74;135;54.8%;22;27;81.5%;32;13;45;26;10;19;7;30;24;192;106
;ALBA BERLIN;;;;;;;;;;;;;;;;;;;;;;;;;;
15;SALUMU J. (SG);13;307:16:00;188;36;62;58.1%;19;40;47.5%;55;102;53.9%;59;74;79.7%;15;8;23;29;5;30;3;34;75;156;-40
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
80;BARNETT J. (SF);19;401:59:00;188;42;72;58.3%;25;76;32.9%;67;148;45.3%;29;33;87.9%;35;14;49;22;13;13;7;34;20;181;-129
