Pl.;Spieler;G;MIN;PTS;2PM;2PA;2P %;3PM;3PA;3P %;FGM;FGA;FG %;FTM;FTA;FT %;DREB;OREB;TREB;AST;STL;TOV;BLK;PF;FD;EF;+/-
;Team;;;;;;;;;;;;;;;;;;;;;;;;;;
206;RICHTER J. (PF);3;28:19:00;7;2;5;40.0%;1;1;100.0%;3;6;50.0%;0;0;0.0%;2;2;4;3;2;1;0;9;0;12;28
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
213;AGBAKOKO N. (C);3;07:52;6;3;5;60.0%;0;0;0.0%;3;5;60.0%;0;1;0.0%;2;2;4;0;0;1;0;4;2;6;-3
;EWE Baskets Oldenburg;;;;;;;;;;;;;;;;;;;;;;;;;;
234;WENZL N. (PG);6;32:11:00;6;1;3;33.3%;1;2;50.0%;2;5;40.0%;1;2;50.0%;1;0;1;5;2;3;0;3;3;7;-3
;medi bayreuth;;;;;;;;;;;;;;;;;;;;;;;;;;
236;RUOFF A. (SF);6;89:19:00;6;2;6;33.3%;0;8;0.0%;2;14;14.3%;2;2;100.0%;4;4;8;8;3;8;1;12;2;6;-6
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
239;KRIMMER M. (SF);7;38:01:00;6;3;5;60.0%;0;0;0.0%;3;5;60.0%;0;0;0.0%;3;1;4;1;1;1;1;0;0;10;25
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
170;WILLIAMS J. (PF);1;23:58;5;2;5;40.0%;0;0;0.0%;2;5;40.0%;1;1;100.0%;8;2;10;1;1;3;0;2;1;11;-39
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
223;LAZIC V. (PG);3;09:54;5;0;2;0.0%;1;2;50.0%;1;4;25.0%;2;2;100.0%;1;0;1;1;0;0;0;1;1;4;-10
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
240;SERIC M. (PF);7;44:30:00;5;1;2;50.0%;1;6;16.7%;2;8;25.0%;0;0;0.0%;2;2;4;1;0;3;0;9;0;1;-13
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
244;PATRICK J. (PG);12;24:32:00;5;0;6;0.0%;1;5;20.0%;1;11;9.1%;2;4;50.0%;1;0;1;3;1;5;0;2;2;-7;-13
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
183;MILICIC I. (SF);1;12:24;4;2;2;100.0%;0;3;0.0%;2;5;40.0%;0;0;0.0%;1;0;1;0;0;2;0;1;0;0;-7
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
214;STANIC F. (PF);2;10:56;4;2;3;66.7%;0;0;0.0%;2;3;66.7%;0;0;0.0%;4;1;5;0;0;2;0;1;1;6;-7
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
235;ONWUEGBUZIE A. (SG);4;13:21;4;0;1;0.0%;1;5;20.0%;1;6;16.7%;1;2;50.0%;0;0;0;0;0;0;0;2;2;-2;-14
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
246;GöTTSCHE J. (C);12;52:24:00;4;1;3;33.3%;0;0;0.0%;1;3;33.3%;2;6;33.3%;6;3;9;1;1;4;1;10;4;6;-7
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
196;BRASE H. (PF);1;05:54;3;0;0;0.0%;1;1;100.0%;1;1;100.0%;0;0;0.0%;0;0;0;0;0;1;0;3;0;2;-6
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
228;NADJFEJI N. (SF);2;03:38;3;0;0;0.0%;1;1;100.0%;1;1;100.0%;0;0;0.0%;0;0;0;0;0;0;0;2;0;3;-1
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
243;PLESCHER M. (SG);6;16:09;3;0;0;0.0%;1;2;50.0%;1;2;50.0%;0;0;0.0%;2;0;2;1;1;0;0;0;0;6;3
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
212;TURUDIC B. (PF);1;04:38;2;0;0;0.0%;0;0;0.0%;0;0;0.0%;2;2;100.0%;2;0;2;1;1;1;0;1;1;5;-4
;BG Göttingen;;;;;;;;;;;;;;;;;;;;;;;;;;
216;GREGORI B. (PG);1;04:16;2;1;1;100.0%;0;0;0.0%;1;1;100.0%;0;0;0.0%;0;0;0;0;0;1;0;0;0;1;-3
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
232;DIALLO N. (C);2;04:59;2;0;0;0.0%;0;0;0.0%;0;0;0.0%;2;2;100.0%;0;0;0;0;0;0;0;2;1;2;1
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
237;SAMARE J. (PF);2;11:28;2;1;4;25.0%;0;0;0.0%;1;4;25.0%;0;0;0.0%;1;3;4;0;0;2;0;4;2;1;-6
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
238;NDI E. (SF);2;11:20;2;1;1;100.0%;0;1;0.0%;1;2;50.0%;0;0;0.0%;0;1;1;1;0;1;0;0;0;2;-11
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
241;FRIEDERICI V. (PG);3;04:23;2;1;2;50.0%;0;1;0.0%;1;3;33.3%;0;0;0.0%;0;0;0;1;0;0;0;3;0;1;1
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
242;MASON M. (SF);3;03:32;2;0;0;0.0%;0;0;0.0%;0;0;0.0%;2;2;100.0%;0;1;1;0;0;0;0;0;1;3;-1
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
245;LUKOSIUS S. (SG);5;25:35:00;2;1;4;25.0%;0;3;0.0%;1;7;14.3%;0;0;0.0%;4;0;4;1;0;2;0;4;3;-1;-3
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
247;KOVACEVIC A. (PG);6;08:50;1;0;1;0.0%;0;1;0.0%;0;2;0.0%;1;2;50.0%;0;0;0;2;0;1;0;0;1;-1;-9
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
248;LARSON T. (PG);2;33:43:00;0;0;6;0.0%;0;9;0.0%;0;15;0.0%;0;0;0.0%;2;0;2;5;3;6;0;3;2;-11;-27
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
249;KING A. (SF);2;03:52;0;0;1;0.0%;0;2;0.0%;0;3;0.0%;0;0;0.0%;1;1;2;0;0;0;0;1;0;-1;-7
;FC Bayern München;;;;;;;;;;;;;;;;;;;;;;;;;;
250;BEGUE M. (SG);1;01:21;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0;0;0;1;0;0;0;-1;7
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
251;MEREDITH M. (PG);2;02:05;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0;1;0;0;0;0;0;1;1
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
252;ONYIA A. (PG);2;01:26;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0;0;0;0;0;0;0;0;-4
;FRAPORT SKYLINERS;;;;;;;;;;;;;;;;;;;;;;;;;;
253;WATKINS A. (PG);6;06:24;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;1;0;1;0;0;0;0;1;0;1;-5
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
254;HAYMOND T. (SF);1;04:52;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0;0;0;0;0;1;0;0;0
;Hamburg Towers;;;;;;;;;;;;;;;;;;;;;;;;;;
255;UHLEMANN T. (PF);4;12:19;0;0;1;0.0%;0;5;0.0%;0;6;0.0%;0;0;0.0%;0;0;0;1;0;1;0;1;0;-6;-15
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
256;KöPPLE T. (PG);1;01:32;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0;1;1;2;0;0;0;0;-4
;JobStairs GIESSEN 46ers;;;;;;;;;;;;;;;;;;;;;;;;;;
257;KRUG J. (PF);1;01:04;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0;0;0;0;0;0;0;0;2
;medi bayreuth;;;;;;;;;;;;;;;;;;;;;;;;;;
258;KALU M. (PG);1;01:20;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0;0;0;0;0;0;0;0;3
;RASTA Vechta;;;;;;;;;;;;;;;;;;;;;;;;;;
259;BAGGETTE E. (PG);1;02:40;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0;0;0;0;0;3;0;0;0
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
260;STOLL M. (PG);1;03:31;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;1;0;1;1;0;1;0;1;0;1;3
;ratiopharm ulm;;;;;;;;;;;;;;;;;;;;;;;;;;
261;LEWIS J. (PG);1;02:27;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;1;0;1;0;0;0;0;0;1;1;-2
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
262;HOPPE L. (SF);1;06:34;0;0;0;0.0%;0;2;0.0%;0;2;0.0%;0;0;0.0%;0;1;1;1;0;1;0;1;0;-1;-5
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
263;ROOSCH S. (PG);1;00:36;0;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0.0%;0;0;0;0;0;0;0;0;0;0;1
;Basketball Löwen Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;;;
